	CA [HEK]	CA [Jurkat]	GAG [HEK]	GAG [Jurkat]	GP120 [HEK]	GP120 [Jurkat]	GP160 [HEK]	GP160 [Jurkat]	GP41 [HEK]	GP41 [Jurkat]	IN [HEK]	IN [Jurkat]	MA [HEK]	MA [Jurkat]	NC [HEK]	NC [Jurkat]	NCC [Jurkat]	NEF [HEK]	NEF [Jurkat]	P6 [HEK]	P6 [Jurkat]	POL [HEK]	POL [Jurkat]	PR [HEK]	PR [Jurkat]	Pol [HEK]	REV [HEK]	REV [Jurkat]	RT [HEK]	RT [Jurkat]	TAT [HEK]	TAT [Jurkat]	VIF [HEK]	VIF [Jurkat]	VPR [HEK]	VPR [Jurkat]	VPU [HEK]	VPU [Jurkat]	p6 [HEK]
CA [HEK]	-1.57894736842	-0.0834022250801	-0.0399910809138	-0.0983786042456	-0.259135253171	-0.0633632649494	-0.190296067334	0.020391026949	-0.204978850686	0.060165959462	0.0270877352921	-0.118262935418	-0.389956957919	-0.166631374022	0.0546350771188	-0.200878347856	-0.0238931897363	0.0312169235243	-0.0948320178707	-0.447473498492	-0.143382463491	-0.0493516436931	0.0052793838046	-0.0884846732215	-0.0594219353484	-0.225156027963	0.101123808056	-0.120599532567	-0.180407188047	-0.0301670630113	0.118517761492	-0.17311238691	-0.0432689747705	-0.0871882667323	-0.150055218983	-0.0308782435441	-0.0753091515601	0.0189285097645	-0.661307834537
CA [Jurkat]	-0.0834022250801	-1.17771883289	-0.404882617461	-0.745125536748	-0.381235202386	-0.601213395772	-0.360484801657	-0.49643388092	-0.357519025378	-0.57751137522	-0.344176017653	-0.691932202578	-0.427412349646	-0.798213465183	-0.262179172046	-0.636930220194	-0.624262967411	-0.301212286972	-0.735009276291	-0.176217111689	-0.855941363807	-0.341964888061	-0.458609156045	-0.415782493369	-0.458714644328	-0.457752432102	-0.251636959209	-0.644519605712	-0.432126122019	-0.69261536024	-0.239444837571	-0.628501229506	-0.415052059419	-0.718442650042	-0.42562445489	-0.615492250061	-0.371841779859	-0.589859462764	-0.102017890723
GAG [HEK]	-0.0399910809138	-0.404882617461	-1.18760195759	-0.473152338498	-0.25838150469	-0.456866813028	-0.322089196735	-0.2618016427	-0.275084543941	-0.252189713102	-0.35132715102	-0.378679277597	-0.480005585164	-0.421996797376	-0.823521832652	-0.472641491376	-0.673223311573	-0.303602599037	-0.446578402784	-0.164454254177	-0.466136932689	-0.385984236711	-0.302473924674	-0.436492221069	-0.280905699575	-0.383453458416	-0.776086216867	-0.554757314906	-0.482545505309	-0.363499786151	-0.715621518632	-0.520072277826	-0.511445360527	-0.476877736203	-0.37578815828	-0.422731899794	-0.421456084351	-0.32201797923	-0.0786314324835
GAG [Jurkat]	-0.0983786042456	-0.745125536748	-0.473152338498	-1.14363143631	-0.413891691157	-0.619345042053	-0.43274767156	-0.469089192028	-0.412501418384	-0.458415392397	-0.343452423641	-0.712821235661	-0.462376884285	-0.706781008621	-0.384341385508	-0.723497951698	-0.613806720085	-0.281651426212	-0.729837560219	-0.289457816319	-0.788237647642	-0.368191477529	-0.45006356919	-0.442760484263	-0.455385231754	-0.485289623831	-0.351510675617	-0.764276906719	-0.495264187274	-0.720981169462	-0.330724114285	-0.746854594212	-0.446997789009	-0.744669845548	-0.406743701696	-0.630417389969	-0.423120640059	-0.491562091121	-0.116472976222
GP120 [HEK]	-0.259135253171	-0.381235202386	-0.25838150469	-0.413891691157	-1.2196969697	-0.556439438289	-0.785056515492	-0.497053716978	-0.708280198461	-0.391699802577	-0.426374064532	-0.409289909969	-0.448832196173	-0.412011688961	-0.10052742616	-0.434256413587	-0.24243112568	-0.367986873396	-0.475990433071	-0.300403384494	-0.458317132909	-0.472042628108	-0.308772998164	-0.460100691658	-0.327012974897	-0.582516860472	-0.157982176872	-0.415445018133	-0.482509464485	-0.468899351572	-0.134302521483	-0.450302770139	-0.484664458349	-0.468207911082	-0.612412587413	-0.434630855848	-0.526325757576	-0.370723490865	-0.219917929293
GP120 [Jurkat]	-0.0633632649494	-0.601213395772	-0.456866813028	-0.619345042053	-0.556439438289	-1.17808219178	-0.564821553972	-0.653957747036	-0.499747831335	-0.535408815742	-0.467774738485	-0.573789144559	-0.420424074614	-0.552853634066	-0.316557874414	-0.560423827673	-0.49213336933	-0.388681782753	-0.643937563079	-0.164278754638	-0.656884896304	-0.461098896995	-0.496396478345	-0.46113313189	-0.458166360764	-0.56435213185	-0.333359324563	-0.562461184929	-0.486940006237	-0.576758446982	-0.347308747059	-0.585077382259	-0.545921591632	-0.681771193036	-0.550287963058	-0.630306699706	-0.489670108108	-0.507059334219	-0.0634675940178
GP160 [HEK]	-0.190296067334	-0.360484801657	-0.322089196735	-0.43274767156	-0.785056515492	-0.564821553972	-1.23598820059	-0.551585972643	-0.729623965795	-0.461129275713	-0.514306075915	-0.404685022677	-0.461092054864	-0.434381082243	-0.185155117244	-0.424685685854	-0.277043765122	-0.464525714782	-0.456108296986	-0.314562551607	-0.460672541811	-0.552308852374	-0.317584183876	-0.460740263673	-0.323995395593	-0.579185387854	-0.208503792977	-0.430042686145	-0.490887833768	-0.4212395364	-0.215703199927	-0.439643492802	-0.538556112377	-0.48331117836	-0.623412555231	-0.468065865392	-0.567916786723	-0.416185269332	-0.189940939375
GP160 [Jurkat]	0.020391026949	-0.49643388092	-0.2618016427	-0.469089192028	-0.497053716978	-0.653957747036	-0.551585972643	-1.23093220339	-0.451075218274	-0.698134304065	-0.454004000578	-0.484892271286	-0.251026799251	-0.488190632942	-0.171826361676	-0.423653559668	-0.39352469054	-0.490512957087	-0.609583007187	-0.0239159226083	-0.511051782637	-0.411927509	-0.520008323699	-0.411619947849	-0.442907128394	-0.470969734628	-0.211663618195	-0.439137736693	-0.368416412254	-0.514524642079	-0.247079549867	-0.421773500353	-0.469507175564	-0.567478511456	-0.441748152977	-0.649641552672	-0.436698159111	-0.549406225288	0.0490732175539
GP41 [HEK]	-0.204978850686	-0.357519025378	-0.275084543941	-0.412501418384	-0.708280198461	-0.499747831335	-0.729623965795	-0.451075218274	-1.3171641791	-0.439539273157	-0.472817853788	-0.348767441271	-0.475874159185	-0.433315522183	-0.136016224718	-0.420000920819	-0.255597014925	-0.428390865295	-0.453788764217	-0.260878717906	-0.439805080045	-0.419600678806	-0.316725464502	-0.443594631358	-0.323520000742	-0.547221753745	-0.163431219748	-0.414612709107	-0.501110117991	-0.445625226807	-0.152714904004	-0.439743264413	-0.474774230744	-0.430673218809	-0.617366590614	-0.390879402625	-0.549394878458	-0.361927522505	-0.214500129845
GP41 [Jurkat]	0.060165959462	-0.57751137522	-0.252189713102	-0.458415392397	-0.391699802577	-0.535408815742	-0.461129275713	-0.698134304065	-0.439539273157	-1.24494382022	-0.397910090418	-0.422222270124	-0.270120363389	-0.576718837282	-0.162471910112	-0.404198899174	-0.432206133731	-0.376335958248	-0.544774708818	-0.0178957923657	-0.512765293383	-0.295656494291	-0.442345356683	-0.364299359771	-0.408591196674	-0.392657469674	-0.198357217343	-0.393679460732	-0.338064989956	-0.528320034898	-0.197642773834	-0.38929149436	-0.383923216918	-0.459367242885	-0.398222427711	-0.514295339974	-0.422606732917	-0.623613377691	0.0390441866221
IN [HEK]	0.0270877352921	-0.344176017653	-0.35132715102	-0.343452423641	-0.426374064532	-0.467774738485	-0.514306075915	-0.454004000578	-0.472817853788	-0.397910090418	-1.17132867133	-0.311302255561	-0.336907127472	-0.381597830204	-0.196709365401	-0.266266230766	-0.246201878939	-0.737279009935	-0.488236890033	-0.0343721934631	-0.397474196184	-0.627652205887	-0.452203130708	-0.527307625196	-0.388810568837	-0.594682722731	-0.316263095826	-0.34977949547	-0.475041701122	-0.430321251175	-0.383245347378	-0.335865816899	-0.729754756587	-0.46709006118	-0.569220723958	-0.524555233796	-0.646411601219	-0.508430928225	-0.0119679783789
IN [Jurkat]	-0.118262935418	-0.691932202578	-0.378679277597	-0.712821235661	-0.409289909969	-0.573789144559	-0.404685022677	-0.484892271286	-0.348767441271	-0.422222270124	-0.311302255561	-1.22569444444	-0.391160025507	-0.647416904206	-0.24868148874	-0.722712986234	-0.533040955542	-0.304545302815	-0.674883474077	-0.256960055377	-0.730310059824	-0.381509873819	-0.492299437585	-0.432546041921	-0.508735733009	-0.525207389348	-0.21035902326	-0.676860825466	-0.423027497938	-0.710612840097	-0.203069024319	-0.682977555182	-0.40340259708	-0.64368080133	-0.453433641975	-0.557033403746	-0.418029539905	-0.482971753944	-0.167534722222
MA [HEK]	-0.389956957919	-0.427412349646	-0.480005585164	-0.462376884285	-0.448832196173	-0.420424074614	-0.461092054864	-0.251026799251	-0.475874159185	-0.270120363389	-0.336907127472	-0.391160025507	-1.21276595745	-0.557405792675	-0.412696394732	-0.526012194848	-0.442383217848	-0.3044529514	-0.434433649524	-0.528957471679	-0.509199892534	-0.469178963126	-0.313914676194	-0.500409165303	-0.323322176071	-0.560977037359	-0.366830141819	-0.551162553524	-0.641892447915	-0.39106492662	-0.315303267401	-0.578586919326	-0.473932485292	-0.451956704903	-0.482444055328	-0.366271880847	-0.509252139949	-0.338726840486	-0.431531788247
MA [Jurkat]	-0.166631374022	-0.798213465183	-0.421996797376	-0.706781008621	-0.412011688961	-0.552853634066	-0.434381082243	-0.488190632942	-0.433315522183	-0.576718837282	-0.381597830204	-0.647416904206	-0.557405792675	-1.19710144928	-0.27644546148	-0.682013319777	-0.635220822425	-0.324211468254	-0.667532739997	-0.319722646746	-0.841504210028	-0.361300915623	-0.475904765125	-0.429636920115	-0.497241607116	-0.494485658893	-0.258710764787	-0.686996129352	-0.512470780739	-0.709242864742	-0.228141495857	-0.667034339973	-0.448076199163	-0.662062152213	-0.446157107616	-0.586097895969	-0.452987609409	-0.627233720888	-0.176534001282
NC [HEK]	0.0546350771188	-0.262179172046	-0.823521832652	-0.384341385508	-0.10052742616	-0.316557874414	-0.185155117244	-0.171826361676	-0.136016224718	-0.162471910112	-0.196709365401	-0.24868148874	-0.412696394732	-0.27644546148	-1.2	-0.377788217392	-0.600932835821	-0.206016709338	-0.281803179493	-0.115151515152	-0.313244922775	-0.312655625357	-0.196305638218	-0.336880779984	-0.166157886369	-0.259414398041	-0.843811533052	-0.467887400108	-0.433320300282	-0.224475153887	-0.788263619669	-0.428808954284	-0.385561401216	-0.311617988875	-0.253000863558	-0.282897806594	-0.302332535885	-0.200980659129	-0.0340748335711
NC [Jurkat]	-0.200878347856	-0.636930220194	-0.472641491376	-0.723497951698	-0.434256413587	-0.560423827673	-0.424685685854	-0.423653559668	-0.420000920819	-0.404198899174	-0.266266230766	-0.722712986234	-0.526012194848	-0.682013319777	-0.377788217392	-1.20866141732	-0.670138976614	-0.222366575205	-0.598375346052	-0.417102058524	-0.75018169411	-0.357226836185	-0.421603256325	-0.399930538195	-0.42866121565	-0.515712027656	-0.328218870066	-0.736445222099	-0.497749553901	-0.627885793543	-0.2710675485	-0.771967872222	-0.382427611758	-0.643734838289	-0.394735160344	-0.527409958714	-0.399664085659	-0.427636743564	-0.203765232471
NCC [Jurkat]	-0.0238931897363	-0.624262967411	-0.673223311573	-0.613806720085	-0.24243112568	-0.49213336933	-0.277043765122	-0.39352469054	-0.255597014925	-0.432206133731	-0.246201878939	-0.533040955542	-0.442383217848	-0.635220822425	-0.600932835821	-0.670138976614	-1.19402985075	-0.219344119619	-0.529177219171	-0.173840697004	-0.652305585741	-0.273593664492	-0.393975007761	-0.352527060297	-0.344870153255	-0.38809381628	-0.555112172711	-0.68479716831	-0.42524325133	-0.50825612088	-0.488010943102	-0.611253799961	-0.377380493395	-0.565296430316	-0.313243260722	-0.469631313701	-0.349875254129	-0.447081359997	-0.0341911391091
NEF [HEK]	0.0312169235243	-0.301212286972	-0.303602599037	-0.281651426212	-0.367986873396	-0.388681782753	-0.464525714782	-0.490512957087	-0.428390865295	-0.376335958248	-0.737279009935	-0.304545302815	-0.3044529514	-0.324211468254	-0.206016709338	-0.222366575205	-0.219344119619	-1.24861878453	-0.459103091274	-0.0389763244568	-0.334791388491	-0.589282102999	-0.369271894034	-0.523523455596	-0.369544532811	-0.47887790632	-0.318058503345	-0.296550599643	-0.466510211352	-0.32971350513	-0.388142349568	-0.277989426732	-0.658129533628	-0.40168379052	-0.548503683241	-0.494818295263	-0.612640033705	-0.473749364949	0.000128205543883
NEF [Jurkat]	-0.0948320178707	-0.735009276291	-0.446578402784	-0.729837560219	-0.475990433071	-0.643937563079	-0.456108296986	-0.609583007187	-0.453788764217	-0.544774708818	-0.488236890033	-0.674883474077	-0.434433649524	-0.667532739997	-0.281803179493	-0.598375346052	-0.529177219171	-0.459103091274	-1.18867924528	-0.196273052014	-0.77940876698	-0.44995384006	-0.552185230842	-0.504394814087	-0.556059342368	-0.561188247292	-0.314794025911	-0.664531814351	-0.50161893753	-0.727086974456	-0.318241404317	-0.683698189241	-0.558753221091	-0.792519248649	-0.515598126043	-0.740299780411	-0.515656962709	-0.616120691283	-0.103554366231
P6 [HEK]	-0.447473498492	-0.176217111689	-0.164454254177	-0.289457816319	-0.300403384494	-0.164278754638	-0.314562551607	-0.0239159226083	-0.260878717906	-0.0178957923657	-0.0343721934631	-0.256960055377	-0.528957471679	-0.319722646746	-0.115151515152	-0.417102058524	-0.173840697004	-0.0389763244568	-0.196273052014	-1.21487603306	-0.309923706586	-0.297194534521	-0.121773469778	-0.251130063022	-0.124321584492	-0.311257849391	-0.0597139964647	-0.334978123481	-0.383233784289	-0.152519647508	0.0285905034461	-0.380488084529	-0.188565222656	-0.226912522532	-0.31144875804	-0.10767411743	-0.23843177767	-0.0765907601071	-0.635351803011
P6 [Jurkat]	-0.143382463491	-0.855941363807	-0.466136932689	-0.788237647642	-0.458317132909	-0.656884896304	-0.460672541811	-0.511051782637	-0.439805080045	-0.512765293383	-0.397474196184	-0.730310059824	-0.509199892534	-0.841504210028	-0.313244922775	-0.75018169411	-0.652305585741	-0.334791388491	-0.77940876698	-0.309923706586	-1.21629213483	-0.378615299923	-0.499918794044	-0.456727098036	-0.521501981169	-0.530870184399	-0.296518391625	-0.761838104629	-0.526684381132	-0.784011645063	-0.264829107683	-0.73089016313	-0.46937104933	-0.753789586654	-0.466363013412	-0.665716833534	-0.455627794232	-0.571282906435	-0.188667822578
POL [HEK]	-0.0493516436931	-0.341964888061	-0.385984236711	-0.368191477529	-0.472042628108	-0.461098896995	-0.552308852374	-0.411927509	-0.419600678806	-0.295656494291	-0.627652205887	-0.381509873819	-0.469178963126	-0.361300915623	-0.312655625357	-0.357226836185	-0.273593664492	-0.589282102999	-0.44995384006	-0.297194534521	-0.378615299923	-1.16705882353	-0.460351654315	-0.61096817412	-0.371860830123	-0.636820063662	-0.362847198811	-0.389053362157	-0.570082597436	-0.376794543905	-0.386512181293	-0.419213764081	-0.685879139114	-0.480297100723	-0.584995951367	-0.435467344661	-0.586862482961	-0.408222650421	-0.0911569709458
POL [Jurkat]	0.0052793838046	-0.458609156045	-0.302473924674	-0.45006356919	-0.308772998164	-0.496396478345	-0.317584183876	-0.520008323699	-0.316725464502	-0.442345356683	-0.452203130708	-0.492299437585	-0.313914676194	-0.475904765125	-0.196305638218	-0.421603256325	-0.393975007761	-0.369271894034	-0.552185230842	-0.121773469778	-0.499918794044	-0.460351654315	-1.14397905759	-0.451672786714	-0.630771908996	-0.571521191727	-0.205486310236	-0.430193416411	-0.384177934593	-0.508655399474	-0.24839804912	-0.46358502569	-0.452362562471	-0.546057287319	-0.362881262848	-0.513946380581	-0.416047812361	-0.488134149489	-0.0304318230775
PR [HEK]	-0.0884846732215	-0.415782493369	-0.436492221069	-0.442760484263	-0.460100691658	-0.46113313189	-0.460740263673	-0.411619947849	-0.443594631358	-0.364299359771	-0.527307625196	-0.432546041921	-0.500409165303	-0.429636920115	-0.336880779984	-0.399930538195	-0.352527060297	-0.523523455596	-0.504394814087	-0.251130063022	-0.456727098036	-0.61096817412	-0.451672786714	-1.19230769231	-0.519811689969	-0.582725590446	-0.405044744285	-0.50164687904	-0.752854582898	-0.474300013712	-0.408822867685	-0.489608520263	-0.620617626136	-0.503186944355	-0.560260271857	-0.477310496815	-0.509028471528	-0.421815037637	-0.193339129842
PR [Jurkat]	-0.0594219353484	-0.458714644328	-0.280905699575	-0.455385231754	-0.327012974897	-0.458166360764	-0.323995395593	-0.442907128394	-0.323520000742	-0.408591196674	-0.388810568837	-0.508735733009	-0.323322176071	-0.497241607116	-0.166157886369	-0.42866121565	-0.344870153255	-0.369544532811	-0.556059342368	-0.124321584492	-0.521501981169	-0.371860830123	-0.630771908996	-0.519811689969	-1.19571045576	-0.471232236242	-0.190343554667	-0.42436089404	-0.416893836108	-0.568712063767	-0.210880752313	-0.424230401035	-0.394470649497	-0.515918288778	-0.366176055531	-0.485975787641	-0.380390450962	-0.472758479065	-0.066927278344
Pol [HEK]	-0.225156027963	-0.457752432102	-0.383453458416	-0.485289623831	-0.582516860472	-0.56435213185	-0.579185387854	-0.470969734628	-0.547221753745	-0.392657469674	-0.594682722731	-0.525207389348	-0.560977037359	-0.494485658893	-0.259414398041	-0.515712027656	-0.38809381628	-0.47887790632	-0.561188247292	-0.311257849391	-0.530870184399	-0.636820063662	-0.571521191727	-0.582725590446	-0.471232236242	-1.15269461078	-0.278027561257	-0.497236153995	-0.563851950503	-0.498228069272	-0.296236791515	-0.54454341204	-0.633535977644	-0.601174028828	-0.587358352459	-0.529338165941	-0.604603706611	-0.469927639636	-0.214452925544
REV [HEK]	0.101123808056	-0.251636959209	-0.776086216867	-0.351510675617	-0.157982176872	-0.333359324563	-0.208503792977	-0.211663618195	-0.163431219748	-0.198357217343	-0.316263095826	-0.21035902326	-0.366830141819	-0.258710764787	-0.843811533052	-0.328218870066	-0.555112172711	-0.318058503345	-0.314794025911	-0.0597139964647	-0.296518391625	-0.362847198811	-0.205486310236	-0.405044744285	-0.190343554667	-0.278027561257	-1.19873417722	-0.449634468287	-0.445544000152	-0.256905082009	-0.906892242854	-0.381137945214	-0.454233995894	-0.346120208507	-0.313603199719	-0.330831826401	-0.388003452244	-0.265089926566	0.0208243147032
REV [Jurkat]	-0.120599532567	-0.644519605712	-0.554757314906	-0.764276906719	-0.415445018133	-0.562461184929	-0.430042686145	-0.439137736693	-0.414612709107	-0.393679460732	-0.34977949547	-0.676860825466	-0.551162553524	-0.686996129352	-0.467887400108	-0.736445222099	-0.68479716831	-0.296550599643	-0.664531814351	-0.334978123481	-0.761838104629	-0.389053362157	-0.430193416411	-0.50164687904	-0.42436089404	-0.497236153995	-0.449634468287	-1.20053475936	-0.617099091855	-0.663650872611	-0.405232648524	-0.795562589217	-0.496002458554	-0.694437376289	-0.43243132155	-0.592707360874	-0.473516765429	-0.512633243642	-0.195325003793
RT [HEK]	-0.180407188047	-0.432126122019	-0.482545505309	-0.495264187274	-0.482509464485	-0.486940006237	-0.490887833768	-0.368416412254	-0.501110117991	-0.338064989956	-0.475041701122	-0.423027497938	-0.641892447915	-0.512470780739	-0.433320300282	-0.497749553901	-0.42524325133	-0.466510211352	-0.50161893753	-0.383233784289	-0.526684381132	-0.570082597436	-0.384177934593	-0.752854582898	-0.416893836108	-0.563851950503	-0.445544000152	-0.617099091855	-1.16304347826	-0.492813152247	-0.426708872352	-0.584937888199	-0.616670507559	-0.516390915524	-0.542195255112	-0.452790487425	-0.532545869321	-0.414387230237	-0.285365129935
RT [Jurkat]	-0.0301670630113	-0.69261536024	-0.363499786151	-0.720981169462	-0.468899351572	-0.576758446982	-0.4212395364	-0.514524642079	-0.445625226807	-0.528320034898	-0.430321251175	-0.710612840097	-0.39106492662	-0.709242864742	-0.224475153887	-0.627885793543	-0.50825612088	-0.32971350513	-0.727086974456	-0.152519647508	-0.784011645063	-0.376794543905	-0.508655399474	-0.474300013712	-0.568712063767	-0.498228069272	-0.256905082009	-0.663650872611	-0.492813152247	-1.21568627451	-0.235350546012	-0.62377129247	-0.466595122622	-0.670045737206	-0.474108827631	-0.638528907181	-0.507741905363	-0.615858932009	-0.0693842520452
TAT [HEK]	0.118517761492	-0.239444837571	-0.715621518632	-0.330724114285	-0.134302521483	-0.347308747059	-0.215703199927	-0.247079549867	-0.152714904004	-0.197642773834	-0.383245347378	-0.203069024319	-0.315303267401	-0.228141495857	-0.788263619669	-0.2710675485	-0.488010943102	-0.388142349568	-0.318241404317	0.0285905034461	-0.264829107683	-0.386512181293	-0.24839804912	-0.408822867685	-0.210880752313	-0.296236791515	-0.906892242854	-0.405232648524	-0.426708872352	-0.235350546012	-1.17514792899	-0.365670639626	-0.485423208277	-0.344840195105	-0.319474682531	-0.365062859767	-0.387039776463	-0.275838199479	0.0648846345111
TAT [Jurkat]	-0.17311238691	-0.628501229506	-0.520072277826	-0.746854594212	-0.450302770139	-0.585077382259	-0.439643492802	-0.421773500353	-0.439743264413	-0.38929149436	-0.335865816899	-0.682977555182	-0.578586919326	-0.667034339973	-0.428808954284	-0.771967872222	-0.611253799961	-0.277989426732	-0.683698189241	-0.380488084529	-0.73089016313	-0.419213764081	-0.46358502569	-0.489608520263	-0.424230401035	-0.54454341204	-0.381137945214	-0.795562589217	-0.584937888199	-0.62377129247	-0.365670639626	-1.18944099379	-0.48403504141	-0.693864554432	-0.471687750071	-0.582373299788	-0.470552637195	-0.47253185352	-0.226772929111
VIF [HEK]	-0.0432689747705	-0.415052059419	-0.511445360527	-0.446997789009	-0.484664458349	-0.545921591632	-0.538556112377	-0.469507175564	-0.474774230744	-0.383923216918	-0.729754756587	-0.40340259708	-0.473932485292	-0.448076199163	-0.385561401216	-0.382427611758	-0.377380493395	-0.658129533628	-0.558753221091	-0.188565222656	-0.46937104933	-0.685879139114	-0.452362562471	-0.620617626136	-0.394470649497	-0.633535977644	-0.454233995894	-0.496002458554	-0.616670507559	-0.466595122622	-0.485423208277	-0.48403504141	-1.12762237762	-0.579871060668	-0.642656656334	-0.599590975831	-0.695564371526	-0.523007653867	-0.0874202207473
VIF [Jurkat]	-0.0871882667323	-0.718442650042	-0.476877736203	-0.744669845548	-0.468207911082	-0.681771193036	-0.48331117836	-0.567478511456	-0.430673218809	-0.459367242885	-0.46709006118	-0.64368080133	-0.451956704903	-0.662062152213	-0.311617988875	-0.643734838289	-0.565296430316	-0.40168379052	-0.792519248649	-0.226912522532	-0.753789586654	-0.480297100723	-0.546057287319	-0.503186944355	-0.515918288778	-0.601174028828	-0.346120208507	-0.694437376289	-0.516390915524	-0.670045737206	-0.344840195105	-0.693864554432	-0.579871060668	-1.11699779249	-0.512388810146	-0.774977600873	-0.498152006295	-0.546076427444	-0.104178541056
VPR [HEK]	-0.150055218983	-0.42562445489	-0.37578815828	-0.406743701696	-0.612412587413	-0.550287963058	-0.623412555231	-0.441748152977	-0.617366590614	-0.398222427711	-0.569220723958	-0.453433641975	-0.482444055328	-0.446157107616	-0.253000863558	-0.394735160344	-0.313243260722	-0.548503683241	-0.515598126043	-0.31144875804	-0.466363013412	-0.584995951367	-0.362881262848	-0.560260271857	-0.366176055531	-0.587358352459	-0.313603199719	-0.43243132155	-0.542195255112	-0.474108827631	-0.319474682531	-0.471687750071	-0.642656656334	-0.512388810146	-1.25833333333	-0.545596812699	-0.634576437694	-0.450669726516	-0.179879385965
VPR [Jurkat]	-0.0308782435441	-0.615492250061	-0.422731899794	-0.630417389969	-0.434630855848	-0.630306699706	-0.468065865392	-0.649641552672	-0.390879402625	-0.514295339974	-0.524555233796	-0.557033403746	-0.366271880847	-0.586097895969	-0.282897806594	-0.527409958714	-0.469631313701	-0.494818295263	-0.740299780411	-0.10767411743	-0.665716833534	-0.435467344661	-0.513946380581	-0.477310496815	-0.485975787641	-0.529338165941	-0.330831826401	-0.592707360874	-0.452790487425	-0.638528907181	-0.365062859767	-0.582373299788	-0.599590975831	-0.774977600873	-0.545596812699	-1.18444846293	-0.522230868835	-0.633896037143	-0.0326052663903
VPU [HEK]	-0.0753091515601	-0.371841779859	-0.421456084351	-0.423120640059	-0.526325757576	-0.489670108108	-0.567916786723	-0.436698159111	-0.549394878458	-0.422606732917	-0.646411601219	-0.418029539905	-0.509252139949	-0.452987609409	-0.302332535885	-0.399664085659	-0.349875254129	-0.612640033705	-0.515656962709	-0.23843177767	-0.455627794232	-0.586862482961	-0.416047812361	-0.509028471528	-0.380390450962	-0.604603706611	-0.388003452244	-0.473516765429	-0.532545869321	-0.507741905363	-0.387039776463	-0.470552637195	-0.695564371526	-0.498152006295	-0.634576437694	-0.522230868835	-1.24772727273	-0.55983888611	-0.104662765717
VPU [Jurkat]	0.0189285097645	-0.589859462764	-0.32201797923	-0.491562091121	-0.370723490865	-0.507059334219	-0.416185269332	-0.549406225288	-0.361927522505	-0.623613377691	-0.508430928225	-0.482971753944	-0.338726840486	-0.627233720888	-0.200980659129	-0.427636743564	-0.447081359997	-0.473749364949	-0.616120691283	-0.0765907601071	-0.571282906435	-0.408222650421	-0.488134149489	-0.421815037637	-0.472758479065	-0.469927639636	-0.265089926566	-0.512633243642	-0.414387230237	-0.615858932009	-0.275838199479	-0.47253185352	-0.523007653867	-0.546076427444	-0.450669726516	-0.633896037143	-0.55983888611	-1.1825095057	0.00941177983854
p6 [HEK]	-0.661307834537	-0.102017890723	-0.0786314324835	-0.116472976222	-0.219917929293	-0.0634675940178	-0.189940939375	0.0490732175539	-0.214500129845	0.0390441866221	-0.0119679783789	-0.167534722222	-0.431531788247	-0.176534001282	-0.0340748335711	-0.203765232471	-0.0341911391091	0.000128205543883	-0.103554366231	-0.635351803011	-0.188667822578	-0.0911569709458	-0.0304318230775	-0.193339129842	-0.066927278344	-0.214452925544	0.0208243147032	-0.195325003793	-0.285365129935	-0.0693842520452	0.0648846345111	-0.226772929111	-0.0874202207473	-0.104178541056	-0.179879385965	-0.0326052663903	-0.104662765717	0.00941177983854	-1.36458333333
